,programme,preferred,4 Core + Best 2 Elective Subjects,Any Best 5 Subjects,Any Best 6 Subjects,Chinese & English Languages + Any Best 3 Subjects,English Language,Mathematics,Chinese Language,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Physics,Information and Communication Technology,,Business, Accounting and Ficial Studies, Accounting and Ficial Studies (Accounting), Accounting and Ficial Studies (Business Management),Economics,Liberal Studies,Design and Applied Technology,Visual Arts,Film and Video / Film and Video Studies,Image Design,Innovative Product Design,Interior Design,Multimedia Entertainment Studies
19,JS3569,"Chinese Language,English Language,Mathematics,Liberal Studies,Design and Applied Technology,Visual Arts,Film and Video / Film and Video Studies,Image Design,Innovative Product Design,Interior Design,Multimedia Entertainment Studies",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20,JS3064,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,JS3715,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,JS3076,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,JS3703,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,JS3313,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,JS3985,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,JS3375,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,JS3492,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,JS3595,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
