university,subject,subject_num,year,rank,band_a_appl,band_a_offer,band_b_appl,band_b_offer,band_c_appl,band_c_offer,band_d_appl,band_d_offer,band_e_appl,band_e_offer,total_appl,total_offer,atu_offer,high_adm_scr,low_adm_scr,max,min,average
cuhk,science,JS4601,2017,2,1870,403,1252,0,1298,0,1301,0,973,0,6694,403,45,,,33,21,23.9
cuhk,science,JS4601,2016,2,1106,381,879,5,1226,0,1458,0,1140,0,5809,386,59,,,31,21,23.9
cuhk,science,JS4601,2015,2,1284,378,926,0,1337,0,1679,0,1345,0,6571,378,53,,,33,23,25.8
cuhk,science,JS4601,2014,3,1261,388,936,0,1389,0,1718,0,1575,0,6879,388,76,,,32,19,26.3
cuhk,science,JS4601,2013,2,1255,365,883,0,1261,0,1622,0,1626,0,6647,365,83,,,32,23,26.9
cuhk,science,JS4601,2012,2,1867,416,985,0,1543,0,2020,0,1893,0,8308,416,105,,,33,23,26.7
cuhk,bba,JS4202,2017,2,1034,211,504,0,765,0,952,0,853,0,4108,211,21,,,29,24,25.9
cuhk,bba,JS4202,2016,2,796,205,463,0,753,0,1086,0,1120,0,4218,205,32,,,29,24,25.6
cuhk,bba,JS4202,2015,2,789,193,503,0,903,0,1336,0,1370,0,4901,193,25,,,29,25,26.5
cuhk,bba,JS4202,2014,2,899,192,629,0,878,0,1335,0,1536,0,5277,192,31,,,35,25,26.8
cuhk,bba,JS4202,2013,2,792,190,603,3,860,0,1308,0,1525,0,5088,193,36,,,31,24,26.7
cuhk,bba,JS4202,2012,2,956,222,694,2,1209,0,1948,0,1873,0,6680,224,58,,,33,24,26.9
cuhk,nursing,JS4513,2017,2,802,162,626,0,978,0,985,0,817,0,4208,162,22,,,28,24,26.3
cuhk,nursing,JS4513,2016,2,887,173,588,0,984,0,1039,0,933,0,4431,173,20,,,33,24,26.8
cuhk,nursing,JS4513,2015,2,1003,174,730,0,1157,0,1285,0,1166,0,5341,174,30,,,32,25,26.8
cuhk,nursing,JS4513,2014,2,1060,181,893,0,1287,0,1512,0,1338,0,6090,181,42,,,29,24,25.8
cuhk,nursing,JS4513,2013,2,1370,184,930,0,1295,0,1517,0,1461,0,6573,184,39,,,32,24,26.5
cuhk,nursing,JS4513,2012,2,1548,198,1001,0,1622,1,1932,0,1621,0,7724,199,40,,,30,22,24.4
